run,dataset,method,momentum,epochs,gd_final_loss,nag_final_loss,nag_final_loss_improvement,gd_final_accuracy,nag_final_accuracy,nag_final_accuracy_improvement,gd_total_seconds,nag_total_seconds,fixed_epoch_runtime_ratio_gd_over_nag,gd_final_loss_target,nag_reached_gd_final_loss,nag_epochs_to_gd_final_loss,nag_seconds_to_gd_final_loss,epoch_savings_at_gd_final_loss,target_time_speedup_gd_over_nag
1,LogReg_sample_dataset,plaintext,0.1,4,0.6563837929,0.6535416738,0.0028421191000000956,0.9966666667,0.9966666667,0.0,2.2593000000000002e-05,1.3225999999999998e-05,1.708226221079692,0.6563837929,1,4,1.3225999999999998e-05,0,1.708226221079692
1,LogReg_sample_dataset,simulated_bootstrapping,0.1,4,0.6563837929,0.6535416738,0.0028421191000000956,0.9966666667,0.9966666667,0.0,7.250214896,9.932989248,0.729912689421246,0.6563837929,1,4,9.932989248,0,0.729912689421246
2,LogReg_sample_dataset,plaintext,0.1,4,0.6563837929,0.6535416738,0.0028421191000000956,0.9966666667,0.9966666667,0.0,1.3085000000000001e-05,1.4718e-05,0.8890474249218644,0.6563837929,1,4,1.4718e-05,0,0.8890474249218644
2,LogReg_sample_dataset,simulated_bootstrapping,0.1,4,0.6563837929,0.6535416738,0.0028421191000000956,0.9966666667,0.9966666667,0.0,9.634949976,8.906170922,1.081828550157259,0.6563837929,1,4,8.906170922,0,1.081828550157259
