dataset,method,optimizer,momentum,epochs,runs,final_loss_mean,final_loss_stddev,minimum_loss_mean,minimum_loss_stddev,mean_epoch_loss_mean,mean_epoch_loss_stddev,final_accuracy_mean,final_accuracy_stddev,total_seconds_mean,total_seconds_stddev,mean_seconds_per_epoch_mean,mean_seconds_per_epoch_stddev,total_homomorphic_seconds_mean,total_homomorphic_seconds_stddev,total_refresh_seconds_mean,total_refresh_seconds_stddev,total_metric_decryption_seconds_mean,total_metric_decryption_seconds_stddev,total_paired_simulated_refresh_seconds_mean,total_paired_simulated_refresh_seconds_stddev,refresh_count_mean,refresh_count_stddev,max_plaintext_model_error_mean,max_plaintext_model_error_stddev,max_level_before_refresh_mean,max_level_before_refresh_stddev,final_level_after_refresh_mean,final_level_after_refresh_stddev
LogReg_sample_dataset,plaintext,gd,0.0,4,2,0.6563837929,0.0,0.6563837929,0.0,0.669944120575,0.0,0.9966666667,0.0,1.7839000000000003e-05,6.723171275521695e-06,4.45975e-06,1.680792818880423e-06,1.7839000000000003e-05,6.723171275521695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LogReg_sample_dataset,plaintext,nag,0.1,4,2,0.6535416738,0.0,0.6535416738,0.0,0.6685285087999999,0.0,0.9966666667,0.0,1.3972e-05,1.0550033175303302e-06,3.4930000000000003e-06,2.637508293825823e-07,1.3972e-05,1.0550033175303302e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,4,2,0.6563837929,0.0,0.6563837929,0.0,0.669944120575,0.0,0.9966666667,0.0,8.442582436,1.6862623464014437,2.110645609,0.4215655866003609,7.9630422585,1.6015316818199747,0.4795401775,0.08473066458146958,0.0,0.0,0.4795401775,0.08473066458146958,4.0,0.0,5.0309393155e-14,6.018444990527213e-15,6.0,0.0,0.0,0.0
LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,4,2,0.6535416738,0.0,0.6535416738,0.0,0.6685285087999999,0.0,0.9966666667,0.0,9.419580085,0.7260702013612196,2.35489502125,0.1815175503403049,8.4096633035,0.551133831365686,1.0099167814999999,0.17493636999553272,0.0,0.0,1.0099167814999999,0.17493636999553272,4.0,0.0,5.8411554675e-14,5.403088339909538e-14,7.0,0.0,0.0,0.0
