run,dataset,method,optimizer,momentum,epochs,final_loss,minimum_loss,minimum_loss_epoch,mean_epoch_loss,final_accuracy,total_seconds,mean_seconds_per_epoch,total_homomorphic_seconds,total_refresh_seconds,total_metric_decryption_seconds,total_paired_simulated_refresh_seconds,refresh_count,max_plaintext_model_error,max_level_before_refresh,final_level_after_refresh
1,LogReg_sample_dataset,plaintext,gd,0.0,4,0.6563837929,0.6563837929,4,0.669944120575,0.9966666667,2.2593000000000002e-05,5.64825e-06,2.2593000000000002e-05,0.0,0.0,0.0,0,0.0,0,0
1,LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,4,0.6563837929,0.6563837929,4,0.669944120575,0.9966666667,7.250214896,1.812553724,6.830588346,0.41962655000000004,0.0,0.41962655000000004,4,4.605370989e-14,6,0
1,LogReg_sample_dataset,plaintext,nag,0.1,4,0.6535416738,0.6535416738,4,0.6685285087999999,0.9966666667,1.3225999999999998e-05,3.3065e-06,1.3225999999999998e-05,0.0,0.0,0.0,0,0.0,0,0
1,LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,4,0.6535416738,0.6535416738,4,0.6685285087999999,0.9966666667,9.932989248,2.483247312,8.799373773,1.133615475,0.0,1.133615475,4,2.020595063e-14,7,0
2,LogReg_sample_dataset,plaintext,gd,0.0,4,0.6563837929,0.6563837929,4,0.669944120575,0.9966666667,1.3085000000000001e-05,3.2712500000000002e-06,1.3085000000000001e-05,0.0,0.0,0.0,0,0.0,0,0
2,LogReg_sample_dataset,simulated_bootstrapping,gd,0.0,4,0.6563837929,0.6563837929,4,0.669944120575,0.9966666667,9.634949976,2.408737494,9.095496171,0.539453805,0.0,0.539453805,4,5.456507642e-14,6,0
2,LogReg_sample_dataset,plaintext,nag,0.1,4,0.6535416738,0.6535416738,4,0.6685285087999999,0.9966666667,1.4718e-05,3.6795e-06,1.4718e-05,0.0,0.0,0.0,0,0.0,0,0
2,LogReg_sample_dataset,simulated_bootstrapping,nag,0.1,4,0.6535416738,0.6535416738,4,0.6685285087999999,0.9966666667,8.906170922,2.2265427305,8.019952834,0.8862180879999999,0.0,0.8862180879999999,4,9.661715872e-14,7,0
