dataset,method,epoch,homomorphic_seconds,refresh_seconds,metric_decryption_seconds,paired_simulated_refresh_seconds,seconds_per_epoch,accuracy,loss,max_plaintext_model_error,refreshed,level_before_refresh,level_after_refresh,optimizer,momentum,sigmoid,nag_packing
LogReg_sample_dataset,real_bootstrapping,13,0.740724394,1.618045601,0.014876577,0.021303831,2.358769995,0.9966666667,0.5738275992,8.073958253e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,14,0.800405421,1.618845969,0.014507336,0.025256806,2.41925139,0.9966666667,0.5659015551,2.598739433e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,15,0.806119737,1.83520644,0.014402817,0.023921835,2.641326177,0.9966666667,0.5581456543,2.23119513e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,16,0.685445905,1.625817013,0.015132437,0.024259591,2.311262918,0.9966666667,0.5505568941,3.125348904e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,17,0.754643337,1.677661806,0.010098816,0.022362073,2.432305143,0.9966666667,0.5431311241,4.253945815e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,18,0.720257696,1.586409503,0.014501171,0.022914113,2.306667199,0.9966666667,0.5358655813,4.842479669e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,19,0.725748662,1.881745936,0.01371597,0.02352655,2.607494598,0.9966666667,0.5287544293,1.720112662e-07,1,29,19,nag,0.1,cubic,packed
LogReg_sample_dataset,real_bootstrapping,20,0.670677881,1.70793774,0.01039303,0.022414632,2.378615621,0.9966666667,0.5217960552,1.848881795e-07,1,29,19,nag,0.1,cubic,packed
framingham,plaintext,1,9.188e-06,0,0,0,9.188e-06,0.6886227545,0.6923548382,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,2,7.765e-06,0,0,0,7.765e-06,0.6886227545,0.6914908353,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,3,7.634e-06,0,0,0,7.634e-06,0.6886227545,0.6906270722,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,4,7.885e-06,0,0,0,7.885e-06,0.6886227545,0.6897706372,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,5,7.594e-06,0,0,0,7.594e-06,0.6886227545,0.6889221666,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,6,7.614e-06,0,0,0,7.614e-06,0.6886227545,0.6880816553,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,7,7.554e-06,0,0,0,7.554e-06,0.6856287425,0.6872490348,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,8,7.565e-06,0,0,0,7.565e-06,0.6856287425,0.686424231,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,9,7.565e-06,0,0,0,7.565e-06,0.6856287425,0.6856071696,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,10,7.635e-06,0,0,0,7.635e-06,0.6886227545,0.6847977768,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,11,7.575e-06,0,0,0,7.575e-06,0.6886227545,0.6839959797,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,12,7.645e-06,0,0,0,7.645e-06,0.6886227545,0.6832017057,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,13,7.535e-06,0,0,0,7.535e-06,0.6886227545,0.6824148828,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,14,7.555e-06,0,0,0,7.555e-06,0.6886227545,0.6816354397,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,15,7.535e-06,0,0,0,7.535e-06,0.6886227545,0.6808633056,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,16,7.585e-06,0,0,0,7.585e-06,0.6886227545,0.6800984104,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,17,7.535e-06,0,0,0,7.535e-06,0.6886227545,0.6793406845,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,18,7.444e-06,0,0,0,7.444e-06,0.6886227545,0.678590059,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,19,7.404e-06,0,0,0,7.404e-06,0.6856287425,0.6778464653,0,0,0,0,nag,0.1,cubic,packed
framingham,plaintext,20,7.445e-06,0,0,0,7.445e-06,0.6856287425,0.6771098356,0,0,0,0,nag,0.1,cubic,packed
framingham,real_bootstrapping,1,5.344512186,0,0.027030771,0,5.344512186,0.6886227545,0.6923548382,5.179222936e-14,0,8,8,nag,0.1,cubic,packed
framingham,real_bootstrapping,2,3.558882093,0,0.020562558,0,3.558882093,0.6886227545,0.6914908353,2.697017956e-14,0,18,18,nag,0.1,cubic,packed
framingham,real_bootstrapping,3,3.011404609,1.566419059,0.011138763,0.025909344,4.577823668,0.6886227545,0.6906270551,2.876009779e-07,1,28,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,4,1.731983307,1.684578091,0.013435916,0.019575876,3.416561398,0.6886227545,0.689770716,3.149389783e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,5,2.576724903,1.71508521,0.01368729,0.02429207,4.291810113,0.6886227545,0.6889220988,3.797061752e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,6,2.676310126,1.779637398,0.015049698,0.020723247,4.455947524,0.6886227545,0.6880816547,4.322808836e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,7,2.596345996,1.649318221,0.014495659,0.038915935,4.245664217,0.6856287425,0.6872490556,3.689230973e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,8,2.705062443,1.677699287,0.016066145,0.023308796,4.38276173,0.6856287425,0.6864242263,4.292446701e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,9,2.422377526,1.686354892,0.011091657,0.023713588,4.108732418,0.6856287425,0.6856072355,3.338732712e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,10,2.178749249,1.606860929,0.014165655,0.023109027,3.785610178,0.6886227545,0.684797716,4.836673094e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,11,2.426034409,1.910277391,0.015750325,0.028881059,4.3363118,0.6886227545,0.6839960656,3.799736711e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,12,2.654847864,1.46593751,0.011537667,0.025291245,4.120785374,0.6886227545,0.68320175,2.809824051e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,13,2.867551275,1.718543628,0.014840521,0.031055598,4.586094903,0.6886227545,0.6824148739,2.460735655e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,14,2.36465016,1.678903579,0.016257269,0.021993726,4.043553739,0.6886227545,0.6816354172,3.796965624e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,15,2.323243603,2.018078417,0.014929148,0.022718087,4.34132202,0.6886227545,0.6808633144,3.060648181e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,16,2.383204,1.955284623,0.013528546,0.018393349,4.338488623,0.6886227545,0.6800983484,2.518116874e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,17,2.673393396,2.063370346,0.015231603,0.02727899,4.736763742,0.6886227545,0.6793406413,3.618474831e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,18,2.574729208,1.719056923,0.01485412,0.031323954,4.293786131,0.6886227545,0.6785900189,4.775335764e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,19,2.40694364,1.714718369,0.011747776,0.031302338,4.121662009,0.6856287425,0.6778463294,5.902162281e-07,1,29,19,nag,0.1,cubic,packed
framingham,real_bootstrapping,20,2.628140512,1.747172399,0.014537692,0.023166799,4.375312911,0.6856287425,0.6771097513,4.004694074e-07,1,29,19,nag,0.1,cubic,packed
