dataset,method,epoch,homomorphic_seconds,refresh_seconds,metric_decryption_seconds,paired_simulated_refresh_seconds,seconds_per_epoch,accuracy,loss,max_plaintext_model_error,refreshed,level_before_refresh,level_after_refresh,optimizer,momentum,sigmoid,nag_packing
LogReg_sample_dataset,real_bootstrapping,13,0.397643891,7.434889813,0.023337801,0.087430045,7.832533704,0.9966666667,0.5738281871,1.754517998e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,14,0.279771757,6.555350081,0.028666029,0.074058563,6.835121838,0.9966666667,0.5659016602,1.946632141e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,15,0.655908549,6.452592559,0.02451046,0.079766036,7.108501108,0.9966666667,0.5581455984,4.163345008e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,16,0.71373727,7.290179093,0.027071456,0.080144372,8.003916363,0.9966666667,0.5505568891,2.353301954e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,17,0.501797965,6.638259308,0.022595523,0.076233378,7.140057273,0.9966666667,0.5431319705,6.534819357e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,18,0.595567994,7.241457387,0.02391015,0.094768055,7.837025381,0.9966666667,0.5358650656,2.265070683e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,19,0.627337395,6.587906251,0.021192682,0.082883613,7.215243646,0.9966666667,0.5287540329,6.83430142e-07,1,27,19,nag,0.1,cubic,separate
LogReg_sample_dataset,real_bootstrapping,20,0.688650012,6.574294438,0.020554011,0.086820824,7.26294445,0.9966666667,0.5217960044,2.915988169e-07,1,27,19,nag,0.1,cubic,separate
framingham,plaintext,1,8.477e-06,0,0,0,8.477e-06,0.6886227545,0.6923548382,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,2,7.173e-06,0,0,0,7.173e-06,0.6886227545,0.6914908353,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,3,7.104e-06,0,0,0,7.104e-06,0.6886227545,0.6906270722,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,4,7.094e-06,0,0,0,7.094e-06,0.6886227545,0.6897706372,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,5,7.064e-06,0,0,0,7.064e-06,0.6886227545,0.6889221666,0,0,0,0,nag,0.1,cubic,separate
framingham,plaintext,6,7.064e-06,0,0,0,7.064e-06,0.6886227545,0.6880816553,0,0,0,0,nag,0.1,cubic,separate
